ONE,BL,TWO,THREE
data,t,0,22.345000
data,t,1,22.345000
data 2,f,1,22.123000
data 2,f,0,22.123000
data,t,4,22.345000
data,t,5,22.345000
data,t,6,22.345000
data,t,7,22.345000
data,t,8,22.345000
data,t,9,22.345000
data,t,10,22.345000
data,t,11,22.345000
data,t,12,22.345000
data,t,13,22.345000
data,t,14,22.345000
data,t,15,22.345000
data,t,16,22.345000
data,t,17,22.345000
data,t,18,22.345000
data,t,19,22.345000
data,t,20,22.345000
data,t,21,22.345000
data,t,22,22.345000
data,t,23,22.345000
data,t,24,22.345000
data,t,25,22.345000
data,t,26,22.345000
data,t,27,22.345000
data,t,28,22.345000
data,t,29,22.345000
data,t,30,22.345000
data,t,31,22.345000
data,t,32,22.345000
data,t,33,22.345000
data,t,34,22.345000
data,t,35,22.345000
data,t,36,22.345000
data,t,37,22.345000
data,t,38,22.345000
data,t,39,22.345000
data,t,40,22.345000
data,t,41,22.345000
data,t,42,22.345000
data,t,43,22.345000
data,t,44,22.345000
data,t,45,22.345000
data,t,46,22.345000
data,t,47,22.345000
data,t,48,22.345000
data,t,49,22.345000
data,t,50,22.345000
data,t,51,22.345000
data,t,52,22.345000
data,t,53,22.345000
data,t,54,22.345000
data,t,55,22.345000
data,t,56,22.345000
data,t,57,22.345000
data,t,58,22.345000
data,t,59,22.345000
data,t,60,22.345000
data,t,61,22.345000
data,t,62,22.345000
data,t,63,22.345000
data,t,64,22.345000
data,t,65,22.345000
data,t,66,22.345000
data,t,67,22.345000
data,t,68,22.345000
data,t,69,22.345000
data,t,70,22.345000
data,t,71,22.345000
data,t,72,22.345000
data,t,73,22.345000
data,t,74,22.345000
data,t,75,22.345000
data,t,76,22.345000
data,t,77,22.345000
data,t,78,22.345000
data,t,79,22.345000
data,t,80,22.345000
data,t,81,22.345000
data,t,82,22.345000
data,t,83,22.345000
data,t,84,22.345000
data,t,85,22.345000
data,t,86,22.345000
data,t,87,22.345000
data,t,88,22.345000
data,t,89,22.345000
data,t,90,22.345000
data,t,91,22.345000
data,t,92,22.345000
data,t,93,22.345000
data,t,94,22.345000
data,t,95,22.345000
data,t,96,22.345000
data,t,97,22.345000
data,t,98,22.345000
data,t,99,22.345000
data,t,100,22.345000
data,t,101,22.345000
data,t,102,22.345000
data,t,103,22.345000
data,t,104,22.345000
data,t,105,22.345000
data,t,106,22.345000
data,t,107,22.345000
data,t,108,22.345000
data,t,109,22.345000
data,t,110,22.345000
data,t,111,22.345000
data,t,112,22.345000
data,t,113,22.345000
data,t,114,22.345000
data,t,115,22.345000
data,t,116,22.345000
data,t,117,22.345000
data,t,118,22.345000
data,t,119,22.345000
data,t,120,22.345000
data,t,121,22.345000
data,t,122,22.345000
data,t,123,22.345000
data,t,124,22.345000
data,t,125,22.345000
data,t,126,22.345000
data,t,127,22.345000
data,t,128,22.345000
data,t,129,22.345000
data,t,130,22.345000
data,t,131,22.345000
data,t,132,22.345000
data,t,133,22.345000
data,t,134,22.345000
data,t,135,22.345000
data,t,136,22.345000
data,t,137,22.345000
data,t,138,22.345000
data,t,139,22.345000
data,t,140,22.345000
data,t,141,22.345000
data,t,142,22.345000
